	Command being timed: "Rscript --slave memory.R --args hdf5 175000 1000 0.005 random /fastscratch/myscratch/rliu/Aug_data"
	User time (seconds): 88.91
	System time (seconds): 6.14
	Percent of CPU this job got: 91%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:44.35
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1064004
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 395396
	Voluntary context switches: 23598
	Involuntary context switches: 37659
	Swaps: 0
	File system inputs: 2750360
	File system outputs: 32
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
	Command being timed: "Rscript --slave memory.R --args hdf5 175000 1000 0.01 random /fastscratch/myscratch/rliu/Aug_data"
	User time (seconds): 106.84
	System time (seconds): 7.91
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:55.12
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1064000
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 614103
	Voluntary context switches: 3171
	Involuntary context switches: 260
	Swaps: 0
	File system inputs: 0
	File system outputs: 32
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
	Command being timed: "Rscript --slave memory.R --args hdf5 175000 1000 0.05 random /fastscratch/myscratch/rliu/Aug_data"
	User time (seconds): 356.53
	System time (seconds): 21.11
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:18.03
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1064040
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 725154
	Voluntary context switches: 3170
	Involuntary context switches: 436
	Swaps: 0
	File system inputs: 0
	File system outputs: 32
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
	Command being timed: "Rscript --slave memory.R --args hdf5 175000 1000 0.1 random /fastscratch/myscratch/rliu/Aug_data"
	User time (seconds): 637.47
	System time (seconds): 52.06
	Percent of CPU this job got: 99%
